,repositorio_name,repositorio_language,repositorio_fork
0,.github,,286
1,ads-advanced-tools-docs,,31
2,ads-pao-amznjs-gtm-template,Smarty,0
3,alexa-coho,JavaScript,26
4,alexa-skills-kit-js,,1061
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python,3
6,amazon-advertising-api-php-sdk,PHP,71
7,amazon-codeguru-profiler-for-spark,Java,14
8,amazon-frustration-free-setup-certification-tool,Python,8
9,amazon-hub-counter-api-docs,CSS,11
10,amazon-hub-counter-api-samples,Java,8
11,amazon-hub-counter-sdk-java,Java,11
12,amazon-hub-support,PowerShell,8
13,amazon-instant-access-sdk-java,Java,30
14,amazon-instant-access-sdk-net,C#,14
15,amazon-instant-access-sdk-php,PHP,22
16,amazon-instant-access-sdk-ruby,Ruby,11
17,amazon-launcher-integration-cordova-plugin,JavaScript,9
18,amazon-marketing-stream-examples,Python,2
19,amazon-mcf-plugin-for-magento-1,PHP,12
20,amazon-multi-token-completion,Python,1
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook,0
22,amazon-pay-api-sdk-dotnet,C#,12
23,amazon-pay-api-sdk-java,Java,19
24,amazon-pay-api-sdk-nodejs,JavaScript,18
25,amazon-pay-api-sdk-php,PHP,32
26,amazon-pay-sdk-csharp,C#,47
27,amazon-pay-sdk-java,Java,55
28,amazon-pay-sdk-php,PHP,97
29,amazon-pay-sdk-python,Python,41
30,amazon-pay-sdk-ruby,Ruby,33
31,amazon-pay-sdk-samples,PHP,36
32,amazon-payment-files-tools,Kotlin,9
33,amazon-payments-magento-2-plugin,PHP,81
34,amazon-ray,Python,26
35,amazon-s3-gst-plugin,C,21
36,amazon-sidewalk-android-samples,Kotlin,3
37,amazon-sidewalk-ios-samples,Swift,0
38,amazon-succinct-doc-representation,Python,2
39,amazon-template-library,C++,7
40,amazon-weak-ner-needle,Python,29
41,amigitenough,Go,10
42,amzn-drivers,C,166
43,amzn-ec2-ena-utilities,Python,11
44,auction-gym,Jupyter Notebook,28
45,augment-the-pairs-wacv2024,Python,0
46,autotrail,Python,13
47,aws-apigateway-client-lib,,6
48,aws-sigv4-signing-samples,Java,2
49,awsssmchaosrunner,Kotlin,22
50,basis-point-sets,Python,10
51,buy-with-prime-automate-tenant-validation,JavaScript,2
52,buy-with-prime-cdk-constructs,TypeScript,0
53,buy-with-prime-event-accelerator,Python,0
54,buy-with-prime-monitoring-sample-cdk,TypeScript,0
55,buy-with-prime-oauth-handler-ec2,JavaScript,1
56,buy-with-prime-saas-integration,TypeScript,1
57,chalet-charging-location-for-electric-trucks,Python,1
58,computer-vision-basics-in-microsoft-excel,,240
59,confident-sinkhorn-allocation,Jupyter Notebook,6
60,convolutional-handwriting-gan,Python,54
61,cosearcher,Python,4
62,credence-to-causal-estimation,Python,16
63,data-jack-knife,Java,3
64,debiased-balanced-interleaving,Jupyter Notebook,2
65,differential-privacy-bayesian-optimization,Python,16
66,distance-assistant,Python,37
67,drs-sample-android-app,Java,18
68,drs-sample-ios-app,Objective-C,7
69,emukit-playground,JavaScript,13
70,eslint-plugin-no-date-parsing,TypeScript,6
71,exoplayer-amazon-port,Java,82
72,explainable-text-vqa,,6
73,faithful-data2text-cycle-training,Python,2
74,fashion-attribute-disentanglement,Python,9
75,fire-app-builder,Java,256
76,firetv-sample-touch-app,Java,12
77,ftv-livetv-sample-tv-app,Java,22
78,gameon-sample-game-unity,C#,12
79,gameon-starter-kit-unity,C#,8
80,git-commit-template,JavaScript,9
81,glad,JavaScript,4
82,golang-gitoperations,Go,7
83,halo-third-party-sdk-for-java,Java,9
84,halo-third-party-sdk-for-node-js,TypeScript,10
85,halo-third-party-sdk-for-python,Python,11
86,hawktracer,C++,35
87,image-misspell-coling2020,,6
88,image-to-recipe-transformers,Python,24
89,ion-object-mapper-dotnet,C#,15
90,jekyll-doc-project,HTML,47
91,kqr,,0
92,login-with-amazon-oscommerce,PHP,8
93,login-with-amazon-wordpress,PHP,14
94,merlin-on-demand-callgraph,JavaScript,4
95,metalearn-leap,Python,36
96,milan,Scala,21
97,multiconer-baseline,Python,32
98,multilingual-keyphrase-generation,Python,4
99,multimodal-affinities,Python,7
100,MXFusion,Python,31
101,nimbus-jose-jwt_aws-kms-extension,Java,9
102,node-jose_aws-kms-extension,TypeScript,0
103,openapi-swift-code-generate,Swift,2
104,orthogonal-additive-gaussian-processes,Python,4
105,oss-attribution-builder,TypeScript,26
106,oss-contribution-tracker,TypeScript,16
107,oss-dashboard,Ruby,40
108,pecos,Python,103
109,pretraining-or-self-training,Python,12
110,python-jose_aws-kms-extension,Python,0
111,rdma-core,C,6
112,refuel-open-domain-qa,Python,7
113,rete-thewebconf-2022,Python,6
114,rheoceros,Python,8
115,robotiq-gripper-interface,C++,4
116,sample-fire-tv-app-video-skill,Java,14
117,selling-partner-api-docs,HTML,844
118,selling-partner-api-models,Java,694
119,selling-partner-api-samples,Java,8
120,seqzero,Python,5
121,service-model-swift-code-generate,Swift,16
122,sketch-constructor,JavaScript,49
123,smoke-aws,Swift,21
124,smoke-aws-credentials,Swift,14
125,smoke-aws-generate,Swift,11
126,smoke-aws-support,Swift,2
127,smoke-dynamodb,Swift,15
128,smoke-framework,Swift,45
129,smoke-framework-application-generate,Swift,10
130,smoke-framework-examples,Swift,10
131,smoke-http,Swift,16
132,sparse-vqvae,Python,14
133,ss-aga-kgc,Python,8
134,sto-transformer,Python,4
135,style-dictionary,JavaScript,509
136,supply-chain-simulation-environment,Python,41
137,tiny-attribution-generator,TypeScript,15
138,trans-encoder,Python,17
139,user-satisfaction-modeling,Python,1
140,workspace-resolver,JavaScript,6
141,xfer,Python,62
142,zeek-plugin-bacnet,Zeek,14
143,zeek-plugin-enip,Zeek,16
144,zeek-plugin-profinet,Zeek,18
145,zeek-plugin-s7comm,Zeek,14
146,zeek-plugin-tds,Zeek,10
147,zero-shot-rlhr,Python,15
